danceability,energy,liveness,loudness,tempo,speechiness,valence,acousticness,cluster,id
0.107,0.978,0.804,-10.386,158.513,0.548,0.0315,0.0404,17,45MSa5Y03M24ID5ch38R63
0.122,0.956,0.152,-4.738,158.942,0.0797,0.191,5.19e-05,12,3128Sg4WSza6E3iWo063D8
0.48,0.347,0.0898,-16.749,112.181,0.0637,0.327,0.858,18,1nDBiJBJzwOuzA0loEA8ZK
0.55,0.418,0.189,-15.6,148.67,0.0498,0.523,0.0857,14,15YLI8ySrp1sMsswO9RE4c
0.602,0.904,0.197,-7.661,121.775,0.0792,0.578,0.00346,8,0NtvtG6ViV6t7NlMh6JVtz
0.695,0.408,0.145,-16.736,123.628,0.0632,0.495,0.0992,14,08YEdhDnzKw5Tn1PZU7Ur7
0.292,0.923,0.133,-5.932,126.232,0.0849,0.208,0.000405,7,2TnjixzUnsEyrCxWdiX1nB
0.801,0.609,0.0751,-11.569,138.218,0.0727,0.831,0.000785,2,0iD94fatV4gLMmOQhNTQx6
0.292,0.964,0.292,-7.324,159.164,0.171,0.0341,0.416,12,6JZvO8mGyOp27ZM7zU02ts
0.191,0.638,0.112,-10.43,119.917,0.109,0.175,0.241,11,28qaClBxaND9KJ5qFDnNXI
0.488,0.599,0.115,-17.275,129.401,0.0373,0.373,0.471,1,2XqxRQ7rwsm3ONRBT65QWJ
0.251,0.7,0.108,-6.924,191.466,0.118,0.52,0.0766,12,0sTMWWSms4Mt6vy33rdqgv
0.31,0.595,0.26,-11.809,163.415,0.0395,0.381,0.000224,0,35ickeV5eBqwfjvMZoOb3d
0.252,0.702,0.076,-11.816,93.033,0.0425,0.209,0.539,11,1s4ONNfdPmjEZZ8eY5LkIw
0.296,0.527,0.294,-7.131,118.57,0.0526,0.48,0.517,1,2raebVBdgaGktwq85yofR7
0.448,0.85,0.0885,-14.406,104.128,0.0427,0.377,0.00244,7,3qrZ3C3ElujaW7hBXExpwC
0.578,0.54,0.156,-10.514,134.031,0.0296,0.265,0.336,14,4RfeM5UyClAYB02QMXdNWU
0.382,0.951,0.357,-7.2,169.171,0.509,0.0944,0.364,17,0G02BqrQB2aMp4aCW0Vi0c
0.321,0.836,0.163,-9.281,110.922,0.107,0.254,0.0291,7,731gTqTCuzPv0Ti9A8rme7
0.283,0.59,0.142,-6.959,112.406,0.0287,0.303,0.12,7,784ypNcE0CXkfUxUiu0U9n
0.971,0.469,0.118,-12.98,128.698,0.239,0.857,0.567,5,0DIFX4XG6dvSUpJ6OUnq67
0.368,0.759,0.0739,-16.328,180.052,0.0764,0.192,0.114,0,1WakpP3glDrEP9TT4qJvNg
0.765,0.455,0.111,-12.469,123.151,0.0576,0.699,0.0102,2,0V0JbnNI11Dv8HWtnxezVC
0.417,0.678,0.326,-7.45,143.33,0.041,0.162,0.0654,3,26u49cjs34QygSgPNJRAyR
0.654,0.969,0.178,-10.768,135.74,0.0531,0.468,0.024,8,1Eg6nOrc0Tfd6sXOfwVtfM
0.681,0.592,0.0914,-5.266,126.018,0.044,0.531,0.000261,14,14u2aLWtKTZFZV34Hpvfbx
0.189,0.937,0.343,-4.559,98.672,0.101,0.197,0.00455,3,1Rc1B4ENgmfezSESy8PLZD
0.7,0.964,0.18,-6.307,123.345,0.0479,0.776,0.0027,8,7KS7EfTOFYoBudtsJlj6E2
0.458,0.899,0.106,-8.265,124.801,0.041,0.387,0.0354,0,4B4IlgS0GHIklKko9ZToF7
0.543,0.778,0.111,-8.572,146.269,0.0457,0.802,0.129,9,1kY9ruwcwkGt436qyQr1v4
0.495,0.915,0.157,-7.578,159.462,0.0321,0.879,0.742,9,4Ud6wxJUsuAs2XrezbIS7A
0.901,0.654,0.0701,-12.354,138.977,0.0405,0.904,0.286,2,4ZTSygIiwgD9jJE2dc4w78
0.398,0.955,0.134,-6.158,136.251,0.0907,0.641,0.0064,9,1QTnH7A0jB5CfXjTdhxuXz
0.662,0.354,0.0549,-8.522,94.822,0.0277,0.821,0.0036,2,0qJAWtkuJpimenDCtAgnes
0.421,0.506,0.106,-9.271,122.454,0.0332,0.362,0.0297,14,5wBtZOJFE1oVqwkRB5RFcO
0.655,0.00271,0.0995,-25.944,96.732,0.157,0.0942,0.988,18,6wwvTfenXEzKaVQtnvmkej
0.523,0.903,0.0654,-4.157,142.146,0.156,0.426,0.159,0,78JeGNN5hup0RCXJox5cP1
0.463,0.94,0.337,-4.729,125.691,0.212,0.727,0.00296,15,2jGv8XPdxaYcBVDQeJAZuj
0.535,0.808,0.352,-5.058,121.527,0.0578,0.694,0.00199,10,72ufqAeVBaTnQvINBoeRUG
0.614,0.894,0.156,-5.826,138.555,0.196,0.471,0.00387,0,6g51SVENTratWne1965zKG
0.691,0.157,0.17,-21.504,101.466,0.157,0.201,0.00726,14,48zUFsio0IV0KQxnpqAaEm
0.543,0.142,0.181,-20.989,101.347,0.067,0.143,0.586,18,3yOLfMOsF2s8fTEan7SRMq
0.716,0.897,0.411,-7.165,119.447,0.0685,0.477,6.06e-05,10,3DnBfNQt4Xhun89SM55y76
0.509,0.748,0.613,-4.962,114.868,0.0697,0.507,0.684,19,3Ph60bgrtcpkZHc0PIr7MW
0.618,0.942,0.0246,-5.332,174.011,0.0778,0.895,0.00029,9,1lhDbtXvnRVE7u7rWzEoYt
0.44,0.904,0.106,-4.409,138.104,0.177,0.546,0.275,12,5OGfBbWmRRkDiZiJbu5WIr
0.6,0.89,0.31,-3.234,118.562,0.0414,0.793,0.322,10,2prZc73guYkxuclaQ76sQR
0.604,0.783,0.103,-8.591,123.994,0.0349,0.237,0.0518,14,3zQQaPpCo3iSqYedKWgqrV
0.365,0.933,0.252,-5.201,139.292,0.0467,0.782,0.00427,9,0xF9xdi5cI0fi7ZgC7MrzZ
0.81,0.835,0.0522,-10.18,125.669,0.0847,0.948,0.365,2,0dwXkMEGXhsFDn14WZHoEF
0.471,0.526,0.118,-5.314,154.539,0.0341,0.607,0.398,1,2MRGT4kV4AovIWLRXCeHen
0.431,0.597,0.153,-12.934,136.241,0.194,0.617,0.353,1,5VkHTogGhpdkLv0bOtlVjt
0.514,0.509,0.274,-14.668,84.256,0.0984,0.799,0.02,10,7AxuxiEyzOcKLvRTkJTDBB
0.24,0.989,0.211,-7.429,177.995,0.0638,0.964,2.49e-05,9,6WmEBUtkzkY9qtXzjyKnGc
0.72,0.511,0.0959,-8.395,130.976,0.0348,0.725,0.00384,2,6tSIzaUo4PdtqYvTenOZyb
0.27,0.992,0.535,-5.49,179.35,0.0917,0.936,0.000284,15,4m64ntA0hTXUTBHgPC1ObN
0.541,0.633,0.188,-9.697,180.025,0.0425,0.387,0.00598,0,7H3DB4goa73EZXr1Mpr14q
0.684,0.591,0.401,-14.742,136.096,0.0611,0.669,0.281,10,0z2QFutkg0tzGU5HgMMP3j
0.339,0.949,0.27,-8.026,133.928,0.278,0.153,0.00174,12,6lXDLmgB7uiXSgdbv9jCbE
0.261,0.386,0.134,-11.271,185.112,0.0324,0.204,0.867,16,0LOYzAj8Ij8rkg0PPul6kv
0.598,0.812,0.231,-15.013,126.053,0.118,0.568,0.0274,8,6CptWT7lx0FyvPpZ9QsLK1
0.41,0.667,0.0932,-8.043,95.379,0.0315,0.587,0.927,1,0gc5tYRW8KRDShQz06LMoH
0.702,0.671,0.0974,-9.123,121.309,0.0433,0.87,0.124,2,5OlKo0O5msjXxKHOnn0tvl
0.592,0.508,0.127,-11.167,180.22,0.0399,0.414,0.783,1,0qNtcaYbollb4fA0tijRHi
0.543,0.73,0.0985,-6.623,128.011,0.0302,0.486,0.0986,8,4wOhsyJULEkmQ63LCd1Gde
0.556,0.618,0.175,-8.314,124.265,0.0358,0.616,0.000542,8,12iuS7cFkJPooWuc0c21UZ
0.778,0.59,0.384,-12.055,142.004,0.362,0.961,0.547,5,3QoEOJppmERW3SqQ2GRbBE
0.887,0.501,0.122,-7.982,145.995,0.419,0.403,0.498,17,4o2Iwvz9M7qdUUaCmfrZAQ
0.815,0.746,0.138,-8.917,145.9,0.336,0.857,0.228,5,37wn8ryvFgntFspsqSGuWn
0.805,0.548,0.192,-9.504,142.035,0.321,0.712,0.526,5,6GkHHQgXlQjjDKARkNxCcj
0.693,0.665,0.414,-9.352,143.958,0.344,0.57,0.179,5,3IQclwC9RNGpi0y4WwNbpm
0.914,0.708,0.0461,-10.565,145.014,0.444,0.675,0.196,17,0Ni22m2yn0Kph6eomfeIQz
0.847,0.538,0.141,-9.376,144.088,0.475,0.667,0.173,17,7qKWse7rBLRpC8XohnSHmX
0.728,0.609,0.0824,-8.741,143.06,0.339,0.732,0.422,5,0FsJnpcu4POOKcV4HZ33IP
0.87,0.474,0.161,-14.885,139.966,0.513,0.533,0.175,17,0c3gxKm0mGK2l4gfGFFdMg
0.746,0.788,0.391,-4.098,144.942,0.208,0.782,0.088,5,7Iilu8fFb1yiwdX7txdcCZ
0.824,0.648,0.157,-7.839,144.106,0.185,0.333,0.183,5,2TKrKWen6PyP6PsdW8ZNwl
0.826,0.466,0.0862,-9.116,105.045,0.262,0.348,0.0396,5,7ceLh324QbiHmtEvlYuncj
0.807,0.375,0.0846,-11.71,145.039,0.373,0.866,0.293,5,7Lz1drcosdZdADeQznxVep
0.864,0.735,0.338,-6.759,146.002,0.445,0.728,0.547,17,4Wkcd2nwBK0J18XBg1O3vB
0.83,0.486,0.0938,-10.845,141.986,0.5,0.641,0.302,17,0CY4wp1ka3GWd8tISDIF8n
0.922,0.739,0.103,-2.573,140.051,0.209,0.854,0.333,5,2e5QGPh7hjqqVZfnvUQm9n
0.882,0.569,0.121,-10.702,145.005,0.5,0.345,0.0743,17,4rDjv1VTUn0GdJD8rZQzOy
0.898,0.523,0.136,-10.519,142.972,0.448,0.602,0.128,17,38Jy0Q0yhgxAGqlwbD2n35
0.765,0.637,0.0858,-7.09,143.093,0.405,0.262,0.32,17,4pM0Sr90lKzLOdvFwndwAj
0.718,0.547,0.138,-10.506,139.919,0.379,0.729,0.826,5,5ZB08jDyUA9rsT508VxMU5
0.861,0.418,0.149,-12.383,143.087,0.376,0.701,0.125,5,0zA4SJP8MA2ZcGtWwIo26L
0.847,0.542,0.136,-12.953,141.076,0.207,0.623,0.503,5,6miLtPruqcOei6CPGtNkhT
0.906,0.675,0.165,-7.699,140.181,0.332,0.824,0.151,5,1y8DmSnekIhYH0qtkbb0pn
0.752,0.766,0.207,-4.955,137.787,0.294,0.798,0.337,5,6jIQJmqvwMpSfzMHhhGjzi
0.747,0.854,0.194,-5.274,143.048,0.335,0.778,0.571,5,5Q6tzKiXM5IWq0pMqbn8rF
0.904,0.685,0.0849,-8.03,142.074,0.442,0.746,0.635,17,57Lqyd5PuokSlb7RNQ3Ien
0.928,0.565,0.118,-9.672,140.044,0.286,0.751,0.156,5,3599CatsH893NBjRE2XXIt
0.926,0.51,0.462,-11.771,138.066,0.363,0.75,0.209,5,6C4ozGkEeJP8ZDhqzm3AUt
0.869,0.458,0.107,-13.355,145.093,0.341,0.592,0.15,5,6LhT2gkhGhccIsBn76Lszu
0.769,0.607,0.0824,-11.867,140.042,0.146,0.598,0.227,2,68VVpHTNfpD5Hyk8blSPF8
0.769,0.658,0.239,-8.269,142.03,0.398,0.806,0.841,5,3OzqyzFPhuzPHn7GVpsluB
0.897,0.635,0.474,-5.973,141.976,0.325,0.641,0.612,5,5od2dGCHr9IPpiMYZ6ruAZ
0.679,0.668,0.257,-8.053,100.27,0.436,0.8,0.0787,17,03W56OvJzT0uqiq0GhOAXq
0.861,0.405,0.141,-9.108,134.148,0.452,0.189,0.48,17,4nH56aa4YPlklVI5uaK6eI
0.773,0.643,0.238,-7.283,144.955,0.336,0.379,0.599,5,3t9T4tAqwmavTGuNIBkolV
0.846,0.537,0.66,-12.93,139.949,0.504,0.0436,0.591,17,5KNGlMysaCH2etPDXDy0h6
0.896,0.617,0.084,-8.884,144.988,0.36,0.893,0.351,5,731cT0ppbnBKDnOAx23BXi
0.829,0.581,0.357,-11.616,139.969,0.0435,0.775,0.239,10,098ao0jpu82FtiS9q3arHR
0.764,0.677,0.362,-4.83,140.036,0.222,0.669,0.539,5,55ZMKIswo7cnuY5wrJ7hMK
0.762,0.504,0.11,-10.397,147.054,0.206,0.274,0.296,5,2sKoxIvYcRyKWraphzJeVn
0.82,0.777,0.36,-8.685,141.975,0.287,0.767,0.482,5,5AOkVAEwkSqHytEGwS2sF4
0.723,0.61,0.354,-12.726,140.904,0.355,0.801,0.145,5,4Sg5JasBhHYhDCfWJtFsHS
0.905,0.57,0.122,-8.328,143.89,0.452,0.717,0.141,17,0Nl2WRmmuvx7CqmXBZMNac
0.829,0.495,0.077,-8.32,144.022,0.295,0.825,0.235,5,6vNc7V3nSO97HciMEwrz5J
0.862,0.638,0.11,-10.251,142.081,0.397,0.475,0.225,17,0KpUfotGAPjy9bITHgMORR
0.729,0.563,0.0966,-8.755,137.959,0.24,0.644,0.067,5,399iTCakGugzSoP30LVKdx
0.61,0.585,0.202,-8.351,68.964,0.675,0.77,0.738,17,5rE1J7ivJs5NnSXy2vCLEG
0.902,0.619,0.559,-10.889,142.997,0.394,0.59,0.065,5,3er3e31G8zi7f1qhr4y8Ul
0.759,0.844,0.0545,-8.104,139.948,0.287,0.554,0.447,5,56nZFEKCaIPZZisDgBesTW
0.886,0.637,0.664,-10.683,142.066,0.368,0.847,0.199,5,1XldO7Z6J0LPqEXhn565nD
0.754,0.573,0.296,-9.794,142.084,0.145,0.46,0.128,14,4EP9y7nCwcmX3jYambZR3C
0.824,0.676,0.245,-6.148,142.092,0.305,0.885,0.533,5,5d4qutt4zUiXqQJP3pw0Iy
0.783,0.524,0.369,-10.671,141.924,0.425,0.421,0.296,17,6G8LBqCMoCAPYxAqaAIfrj
0.895,0.751,0.153,-6.497,141.07,0.231,0.692,0.812,5,1BqDi7sKvKZ3HqAIWNwbz0
0.881,0.716,0.0664,-5.759,144.994,0.479,0.363,0.553,17,7mgiN7nDwYs7Y6TSI21CMl
0.912,0.695,0.0342,-7.649,142.04,0.381,0.6,0.00396,5,3tvtBZEkBPhrusKwj0Bhft
0.803,0.506,0.207,-11.966,143.085,0.235,0.592,0.513,5,62i407bBgNrWRirkc51ZRI
0.817,0.492,0.103,-9.215,139.535,0.581,0.615,0.257,17,1BlHeWSU3JVML67mQi4Flu
0.707,0.77,0.104,-6.369,135.07,0.245,0.616,0.115,5,3etxao6xSDEqllkBjMtbhu
0.889,0.579,0.12,-9.263,140.072,0.347,0.734,0.757,5,6HQBKCiGLqLDS0Yulntxks
0.638,0.732,0.804,-9.147,133.933,0.256,0.393,0.011,19,4kqaKtLcoUXQhlapdJAvBC
0.779,0.554,0.134,-7.948,144.062,0.0673,0.504,0.328,14,380WbZWoPc83r7wHx8NAwu
0.874,0.808,0.311,-5.559,144.984,0.311,0.794,0.673,5,6OKDlnGnKMo8Sg36aiCPQh
0.854,0.822,0.353,-5.607,137.98,0.157,0.799,0.517,10,2oSwUSnZ3cjPoEoofHiUFL
0.821,0.753,0.0725,-7.303,140.117,0.269,0.725,0.188,5,6pHY5GTUrcMaefCdZ6RhzC
0.699,0.655,0.1,-6.971,133.963,0.107,0.394,0.527,1,2HJSEzQBuEnYqcEhiSZUcL
0.862,0.538,0.06,-11.427,142.955,0.535,0.492,0.221,17,0t01F1tDabzMqfhBeYuOoK
0.779,0.604,0.0911,-8.83,134.029,0.285,0.701,0.103,5,3IcEMoCmFupUHZyRvfl0wB
0.906,0.501,0.178,-9.273,140.017,0.423,0.8,0.149,17,2vNzCkWNf5J5PZdCn84TFk
0.731,0.686,0.278,-9.507,116.137,0.324,0.471,0.372,5,5cqU5ZVaNHitoxZ7r2HqNy
0.873,0.362,0.0806,-15.733,142.075,0.294,0.295,0.143,5,2e7lpjjoYA2ijj4X8gfHUr
0.906,0.384,0.24,-13.944,140.038,0.443,0.71,0.269,17,3UrXnXDVYb2XAucbf1Crs2
0.767,0.575,0.195,-8.082,133.982,0.0706,0.0855,0.103,14,3D1k1qgFCA38oZjWxsV7AH
0.82,0.326,0.0781,-14.838,141.038,0.632,0.587,0.34,17,6IgRKjTzOxJP3ssdPAwmEG
0.814,0.729,0.0718,-6.782,144.964,0.419,0.631,0.254,17,7tNao9slm7zBQm0OxkQZMb
0.848,0.518,0.091,-12.127,140.032,0.423,0.46,0.471,17,3KMp8rxdHQajKbQ98lScGn
0.713,0.82,0.277,-4.721,145.191,0.261,0.479,0.37,5,5yyupXwdLorpAyOquvX8NY
0.881,0.532,0.71,-9.352,144.944,0.285,0.472,0.053,19,4jsu4npKL3vW4EKJvoF5OD
0.866,0.76,0.306,-8.306,143.53,0.306,0.575,0.237,5,6sudo6wRFboDycUYoeubhi
0.817,0.482,0.121,-10.608,142.065,0.397,0.748,0.31,5,7gQprUOUW6MdhRzMfxzB72
0.799,0.499,0.481,-11.981,140.03,0.37,0.654,0.0734,5,2x5iEx3qRwoZ2mAj9VeJI8
0.804,0.668,0.099,-8.019,142.072,0.49,0.647,0.67,17,3YeKDW74EEPGUdba1USqiW
0.808,0.612,0.205,-7.046,139.988,0.359,0.171,0.239,5,6IaAg87sN2E7Jgrc0GCdGL
0.898,0.483,0.284,-11.309,141.998,0.83,0.695,0.0397,17,4cR7A1M8MehhZf6lhF44lD
0.902,0.795,0.0998,-6.766,141.996,0.46,0.522,0.175,17,63QjshtY9Y20jMzbwtbaNQ
0.88,0.444,0.0722,-9.514,143.176,0.587,0.549,0.569,17,4N5KefxSs9WMP6vivavwTa
0.735,0.568,0.304,-11.046,144.138,0.474,0.93,0.656,17,26qlVBBFgPpYWq54GsHJ86
0.882,0.696,0.115,-8.105,144.058,0.301,0.814,0.5,5,5Ph6nqtaRGqQ4jD6DPn0qD
0.848,0.737,0.433,-7.895,138.776,0.352,0.893,0.319,5,3cKhG9dsGqbLEzKEY0Qipr
0.929,0.499,0.126,-10.432,138.045,0.312,0.656,0.108,5,0CLU1CwbCtoyXaqBB2kOrN
0.859,0.703,0.114,-6.701,140.97,0.238,0.764,0.317,5,5tKyLMQC4NMaodEQLPmGAn
0.914,0.431,0.121,-12.381,140.017,0.413,0.617,0.087,17,4qVwCqPoaFtmbNsRIxWs3h
0.925,0.744,0.187,-7.99,140.069,0.28,0.895,0.589,5,4otAEHnkYbJllnJElQ89To
0.873,0.502,0.309,-10.445,139.868,0.451,0.886,0.466,17,3eVu0XazPiJAACdBoXzwp0
0.875,0.468,0.184,-14.931,140.1,0.342,0.648,0.227,5,1yVNeiqHl15dSXopkW6ODP
0.741,0.41,0.0974,-13.304,140.107,0.482,0.434,0.582,17,29WeTsDzhciQkBHjiqlBFY
